СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1201,Ново Лагово 2 (Прилеп) - Ново Лагово 3 (Галичани),801,264 - Ново Лагово 2 (Прилеп),74 - Ново Лагово 3 (Галичани)
1202,Ново Лагово 3 (Галичани) - Ерековци (Тополчани),11884,74 - Ново Лагово 3 (Галичани),266 - Ерековци (Тополчани)
1203,Ерековци (Тополчани) - Клепач,1449,266 - Ерековци (Тополчани),76 - Клепач
1204,Клепач - Вашарејца,4754,76 - Клепач,61 - Вашарејца
1205,Вашарејца - Могила,9358,61 - Вашарејца,113 - Могила
1206,Могила - Горно Оризари,4074,113 - Могила,253 - Горно Оризари
1207,Битола 1 (црква Св. Недела) - Брусник (Пелистер),4293,469 - Битола 1 (црква Св. Недела),51 - Брусник (Пелистер)
1208,Брусник (Пелистер) - Снегово (Билбил камен),1310,51 - Брусник (Пелистер),470 - Брусник (Пелистер)
1209,Снегово (Билбил камен) - Г. Српци,7029,271 - Снегово (Билбил камен),127 - Г. Српци
1210,Г. Српци - Цапари 1 (Казхани),3933,127 - Г. Српци,273 - Цапари 1 (Казхани)
1211,Цапари 1 (Казхани) - Гавато,2343,273 - Цапари 1 (Казхани),89 - Гавато
1212,Гавато - Макази 2 (Козјак),9910,89 - Гавато,275 - Макази 2 (Козјак)
1213,Макази 2 (Козјак) - Царев Двор,4382,275 - Макази 2 (Козјак),418 - Царев Двор
