Јазол,X,Y
1,7634964.93,4598585.75
2,7550394.33,4639552.09
3,7509145.32,4622360.78
4,7620634.72,4610176.45
5,7553682.79,4668849.23
6,7541920.28,4644053.9
7,7560652.18,4648300.71
8,7573312.76,4637550.17
9,7473240.95,4560080.21
10,7559697.68,4645761.21
12,7531341.33,4648352.74
13,7493229.14,4628682.02
14,7504214.93,4608182.76
15,7599786.76,4645082.29
16,7492613.37,4628539.97
17,7473190.12,4560087.1
18,7528021.47,4651462.2
19,7514845.21,4662165.68
20,7510235.74,4658863.86
21,7479368.07,4617106.43
22,7478069.74,4613794.52
23,7578559.63,4636573.74
24,7560768.79,4667932.45
26,7473354.26,4606063.24
27,7530816.34,4658251.89
28,7533062.3,4674405.32
30,7467376.2,4565578.82
31,7469861.86,4567898.44
32,7467454.04,4569113.18
33,7505847.16,4649196.29
34,7507142.71,4653264.12
35,7473258.62,4561569.52
36,7475299.55,4564190.81
37,7473480.17,4577691.65
38,7468252.48,4583771.63
40,7610937.11,4674662.59
41,7468203.95,4600770.86
42,7471046.0,4598941.6
43,7474144.99,4596897.69
44,7474645.64,4596154.77
46,7577290.7,4651494.12
47,7583667.53,4654148.57
48,7592782.7,4669879.47
49,7464651.31,4597647.63
50,7613042.85,4677183.15
51,7525651.82,4543844.69
52,7514183.32,4529362.48
53,7491829.95,4535317.34
54,7529434.26,4541342.6
55,7529607.95,4540971.87
56,7599069.05,4622888.61
57,7606242.94,4630969.2
58,7616500.92,4634547.86
59,7620200.39,4635688.62
60,7625703.64,4639137.78
61,7533796.63,4559496.07
62,7530708.99,4570723.21
63,7528137.53,4577081.94
64,7557324.71,4603476.75
65,7538199.4,4607506.98
66,7535051.36,4598581.01
67,7534428.77,4595277.63
68,7534771.6,4592823.73
69,7501489.63,4579900.91
70,7535565.74,4531491.21
71,7548300.49,4532826.75
72,7554212.02,4536652.27
73,7561423.82,4548929.35
74,7543235.21,4574065.59
75,7526588.27,4570535.76
76,7536655.08,4563094.37
77,7540743.94,4555550.08
78,7539286.68,4544680.84
79,7547729.43,4534264.49
80,7647735.97,4648494.77
81,7613453.32,4640264.55
82,7647418.88,4649008.48
83,7559533.36,4611776.91
84,7639450.59,4651084.71
85,7639782.05,4648365.25
86,7651361.49,4640481.71
87,7647052.61,4634439.57
88,7512720.08,4546600.23
89,7512759.91,4546872.33
90,7514864.28,4551078.65
91,7516230.13,4554804.78
92,7621779.89,4609695.76
93,7622942.37,4611283.27
94,7620584.13,4626906.56
95,7638297.05,4589651.72
96,7632015.26,4593497.18
98,7597895.57,4612526.88
99,7604872.02,4606428.99
100,7614251.75,4596332.9
101,7617937.29,4600750.82
102,7620641.07,4610177.51
103,7634901.75,4584853.92
104,7627015.48,4590083.97
105,7622167.53,4596535.01
106,7604286.8,4586035.18
107,7599377.16,4582966.09
108,7595120.34,4574691.58
109,7588866.54,4565432.11
110,7563234.79,4571710.08
111,7591370.58,4593921.03
112,7602746.72,4570817.5
113,7530736.0,4551045.55
114,7556934.42,4638889.2
115,7603871.17,4671019.99
117,7482947.14,4571321.93
118,7500579.11,4574458.45
120,7494673.61,4652567.21
121,7587688.87,4656313.47
122,7494786.05,4636325.82
123,7490578.26,4627636.98
124,7469106.8,4600056.93
126,7501418.02,4552014.5
127,7518862.12,4547533.5
128,7542783.6,4580960.2
130,7628773.1,4608896.83
131,7558499.67,4677202.8
132,7558773.73,4671659.96
133,7559233.92,4668234.73
134,7558479.81,4665768.96
135,7554644.16,4649193.16
136,7552406.2,4644007.39
137,7557197.62,4639205.64
138,7566491.91,4620838.85
139,7569533.08,4615489.82
140,7580101.21,4602526.57
141,7592308.89,4595472.7
143,7625918.74,4563309.91
144,7627731.3,4557603.97
145,7555012.03,4649878.63
146,7548160.5,4650788.63
147,7544503.58,4650312.04
148,7544648.64,4652822.21
149,7527090.13,4651561.86
150,7526294.0,4649713.26
151,7512273.77,4646771.32
152,7505864.24,4649258.1
153,7499381.65,4650793.66
154,7544614.04,4650752.34
155,7496233.92,4644480.37
156,7494689.61,4636394.02
157,7494277.68,4634266.72
158,7558480.48,4677200.67
160,7559218.38,4668238.0
161,7558465.72,4665763.8
162,7554627.08,4649181.16
163,7552395.32,4644019.19
164,7556806.06,4638890.71
165,7564375.08,4623012.55
166,7566487.11,4620808.18
167,7569524.22,4615497.29
168,7580098.6,4602515.09
169,7592303.84,4595465.61
170,7603280.23,4586621.67
172,7625903.66,4563306.47
173,7627726.73,4557591.27
174,7554705.29,4649414.22
175,7548162.36,4650800.8
177,7544660.98,4652826.62
178,7527076.32,4651562.91
179,7526283.68,4649722.78
180,7512249.92,4646780.78
181,7505866.96,4649270.33
182,7499367.49,4650800.64
183,7544584.13,4650090.19
184,7604592.32,4586087.45
185,7621241.88,4578563.88
186,7625257.83,4571925.41
187,7620908.58,4676097.16
188,7620013.57,4675912.43
193,7587466.75,4668556.7
194,7572686.46,4668790.34
195,7568014.06,4669888.07
196,7560486.09,4668324.64
197,7496225.13,4644481.92
198,7494682.61,4636394.31
199,7494269.63,4634268.37
200,7493534.03,4630401.68
201,7492311.8,4629074.16
202,7490968.52,4627872.46
203,7487219.76,4620358.01
204,7496385.48,4605785.59
205,7496857.79,4598325.8
206,7496455.02,4595235.61
207,7496233.18,4595052.98
208,7493644.1,4592855.84
209,7485771.52,4593180.34
211,7479219.55,4557578.87
212,7504849.53,4546883.61
213,7512717.66,4546607.12
214,7518807.83,4547329.34
215,7524829.92,4544735.31
216,7529247.0,4547914.82
217,7537127.88,4564567.77
218,7570608.08,4625727.13
219,7584471.14,4629222.11
220,7586217.01,4630132.65
222,7596471.06,4625389.27
223,7597045.55,4625102.76
226,7648437.17,4647748.05
227,7648727.57,4647876.53
228,7578311.1,4637454.62
229,7596437.41,4619382.15
230,7606984.91,4609300.56
231,7620562.21,4610315.38
232,7621775.77,4609701.6
233,7637679.68,4590608.7
234,7580047.63,4603208.43
235,7580107.58,4602533.88
236,7579446.86,4598362.31
237,7575364.25,4589222.0
238,7558648.2,4580124.65
239,7547092.87,4576407.23
240,7486741.24,4558996.98
241,7502445.98,4554736.88
242,7501400.71,4549904.99
243,7604032.98,4633422.54
244,7608527.58,4636338.26
246,7615813.6,4640715.38
247,7617578.61,4640807.73
248,7621105.13,4641696.07
249,7622693.23,4641797.89
250,7624934.44,4643997.2
251,7631989.82,4654566.94
253,7529328.66,4547257.82
254,7529584.84,4543919.84
255,7529601.89,4543866.23
257,7532744.58,4538213.42
259,7596421.32,4618416.43
261,7641787.49,4590228.73
262,7643140.23,4589871.44
263,7662838.69,4585348.5
264,7543751.69,4574664.89
266,7537095.45,4564434.97
271,7524771.19,4544707.52
273,7515028.03,4547381.66
275,7504738.28,4546318.62
277,7540919.24,4651037.8
279,7551665.71,4643910.95
280,7552725.99,4642593.47
281,7556083.73,4639259.27
283,7565937.33,4620222.08
284,7565634.56,4619428.99
285,7565622.34,4619414.3
286,7569011.94,4615774.25
288,7592452.35,4595661.9
290,7592521.99,4595286.21
291,7603229.86,4586817.51
292,7603419.92,4586731.71
295,7621326.71,4574374.34
296,7626334.92,4556878.39
298,7604866.53,4606105.19
299,7592380.03,4595542.02
300,7592286.77,4595429.99
301,7591963.25,4594852.25
302,7584434.07,4589023.68
303,7584430.92,4588984.15
304,7544649.25,4652831.78
305,7549974.4,4659804.48
306,7558470.33,4665761.64
307,7559236.83,4666096.14
308,7559423.25,4667929.71
309,7620477.23,4578144.29
310,7621238.8,4578561.7
311,7629528.39,4574692.42
312,7633205.25,4576014.96
313,7637347.55,4568815.59
314,7647146.67,4560068.25
315,7546305.43,4646934.04
316,7543628.01,4643331.52
317,7534549.87,4640501.29
318,7530800.05,4642079.06
319,7523106.5,4638249.83
320,7513705.69,4625781.76
321,7521456.07,4614005.72
323,7584453.04,4588997.81
324,7586590.34,4563545.97
325,7580395.88,4559444.49
326,7580151.7,4556469.16
327,7569730.78,4560076.43
328,7564982.97,4558118.08
329,7562408.16,4559317.71
330,7556660.71,4566495.36
331,7543970.08,4574312.87
332,7626345.1,4556842.14
333,7627780.41,4557708.81
334,7631259.0,4561787.78
335,7473215.49,4560109.01
337,7469934.68,4567650.75
339,7466743.53,4580926.1
341,7461521.18,4588765.74
343,7483008.19,4620928.13
345,7467660.0,4608895.37
346,7467795.44,4607216.33
349,7459586.77,4600288.88
351,7498501.43,4651501.42
352,7503370.0,4656782.56
353,7505837.9,4659570.63
354,7510974.1,4666985.97
355,7560477.49,4668328.45
356,7561825.4,4664256.97
359,7597040.22,4625109.85
360,7598214.75,4623886.22
362,7593655.9,4660476.47
363,7597760.2,4659946.02
364,7598018.5,4651098.34
365,7599472.61,4646899.59
367,7602039.44,4636876.68
369,7526387.04,4649631.88
370,7512276.49,4646764.81
372,7497447.75,4651039.45
373,7497086.47,4651306.33
374,7494619.53,4644947.06
375,7490967.86,4637136.35
376,7490775.62,4632642.04
378,7568518.66,4672129.94
379,7570314.27,4675035.78
380,7482423.85,4553680.1
383,7626139.37,4664363.38
384,7483859.78,4548113.01
385,7482706.17,4533418.5
388,7656388.36,4625837.28
389,7654466.94,4620683.96
390,7654464.14,4620664.33
392,7547090.88,4576396.09
