Кратенка,Опис на патот
A2,A2 - Граница со Бугарија (ГП Деве Баир)-К.Паланка-Страцин-Романовце (Куманово)-Миладиновце-обиколница Скопје-Тетово-Гостивар-Кичево-Требениште-Струга-гр.со Албанија (ГП Ќафасан)
A1,A1 - Граница со Србија (ГП Табановци)-Куманово-Миладиновци-Велес-Неготино-Демир Капија-Гевгелија-гр. со Р Грција (ГП Богородица) и делница - Прилеп (врска со A3)
A3,A3 - Крстосница Требениште (врска со A2)-крстосница Подмолје-Охрид-Косел-Ресен-Битола-Прилеп-Велес -Штип-Кочани-Делчево-гр.со Бугарија (ГП Рамна Нива) и делница Битола - гр.
A4,A4 - Граница со Косово (ГП Блаце)-крстосница Стенковец-обиколница Скопје-Петровец-Миладиновци-Св.Николе-Штип-Радовиш-Струмица-гр. со Бугарија (ГП Ново Село)
P1101,"P1101 - Прилеп (врска со A1,A3)-Битола-Макаѕи -Царев двор (врска со P1307)"
P1102,P1102 - Скопје (врска со A2-обиколница Скопје)-Катланово-Велес-Неготино-Д.Капија-Гевгелија-(врска со A1)
P1103,P1103 - Лакавица (врска со A4)-Неготино (врска со A1)-Кавадарци-Дреново (врска со A1)
P1104,P1104 - Скопје (врска со A2-обиколница Скопје)-Арачиново-Куманово (врска со A1)-гр.со Србија (ГП Сопот)
P1105,P1105 - Врска со A1-Миравци-Давидово-Удово (врска со P1102)-Валандово-Раброво-Дојран-гр. со Грција (Сретеново) и делница Стар Дојран - гр. со Грција (Николиќ)
P1106,P1106 - Врска со P1102-Драчево- Варвара-Нова Бреѕница - Кула - Коломот-Мост кај Блиѕанско- Калуѓерец - Суводол (врска со P1303)
P1107,P1107 - Градско (врска со A1) -Росоман - Кавадарци - Мушов Гроб - Витолиште-Лагово (врска со A3)
P1108,P1108 - Гевгелија (врска со P1102)-Моин-Конско-Смрдлива Вода-СЦ Кожув
P1109,P1109 - Гевгелија (врска со A1)-Богданци-Фурка (врска со P1105)
P1201,P1201 - Струга (врска со A2)-Дебар (врска со P1202) и делница Џепиште - гр. со Р.Албанија (ГП Џепиште)
P1202,P1202 - Врска со A2-Маврови Анови-Дебар-гр. со Р. Албанија (ГП Блато) и делница ѕа манастир Св.Јован Крстител (Бигорски)
P1203,P1203 - Тетово (врска со A2)-Вратница-гр. со Р.Косово (ГП Јажинце)
P1204,P1204 - Куманово (врска со A2)-Св.Николе- Овче Поле (врска со A3)-Кадрифаково-Штип-Софилари (врска со A4)
P1205,P1205 - Врска со A2-Кратово-Пробиштип-Крупиште (врска со A3)
P1206,P1206 - Клучка Матка (в A2)-Групчин-Тетово-Боговинје-Врапчиште-Гостивар (врска со A2)
P1207,P1207 - Младо Нагоричане (врска со A2)-гр. со Р .Србија (ГП Пелинце)
P1208,P1208 - Охрид (врска со P1301)-Подмолје (врска со A3)-Струга-Радожда
P1209,P1209 - Тетово (врска со P1206)-Попова шапка
P1210,P1210 - Врска со A2-Тораница-Македонска Каменица (врска со A3)
P1301,P1301 - Охроид (врска со A3)-Свети Наум-гр. со Р.Албанија
P1302,P1302 - Делчево (врска со A3)-Пехчево-берово-Дабиле (врска со A4)
P1303,P1303 - Прилеп (врска со P1101)-Македонски Брод-Кичево (врска со A2)
P1304,P1304 - Превалец (врска со A3)-Виница-Митрашинци-Смојмирово (врска со P1302)
P1305,P1305 - Кукурешани (врска со A3)-Демир Хисар-Другово (врска со A2)
P1306,P1306 - Прилеп (врска со P1303)-Кривогаштани-Крушево-Сладуево (врска со P1305)
P1307,P1307 - Ресен (врска со A3)-Царев Двор-Отешево.-гр. со Албанија (ГП Стенје) и делница Стенје-Конјско
P1308,P1308 - Макаѕи (врска со A3)-Претор-гр. со Р.Грција (ГП Маркова нога)
P1309,P1309 - Ѕрновци (спој со P2334)-Кочани (врска со A3)-Пониква-Злетово - Лесново-Пробиштип (врска со P1205)
P1310,P1310 - Радовиш (врска со A4)-Подареш-Владимирово-Берово (врска со P1302)-гр. со Р.Бугарија (ГП Клепало)
P1311,P1311 - Битола (врска со P1101)-Новаци-Маково-Чаниште-Расимбегов Мост (врска со P1107) и делница Рапеш-Старавина (врска со P2338)
P1312,P1312 - Врска со A3 (Каратманово)-Велес-Извор-Прилеп (врска со P1303)
P1401,P1401 - Струмица (врска со A4)-Раброво-Валандово-балинци-Марвинци (врска со P1102)
P1402,P1402 - Куклишh (врска со P1401)-Банско-Ново Конјарево (врска со A4)
P1403,P1403 - Врска со A4-Радовиш-Владиевци-Василево-Струмица (врска со A4)
P2131,P2131 - Драчево (врска со P1106)-Орешани-Таор - Катланово (врска со P1102)
P2132,P2132 - Мост с.Блиѕанско (врска со P1106)-Растеш-Калуѓерец (врска со P1106)
P2133,P2133 - Куманово (врска со P1104)-Липково-Матејче-Никуштак-врска со P1104
P2134,P2134 - Драчево (врска со P1106)-К.Вода (Усје)-Сопиште-Говрлево (врска со P1106)
P2135,P2135 - Горно Конјаре (врска со P2136)-малино-Преод-Горобинци-Св.Николе (врска со P1204)
P2136,P2136 - Р‘жаничино (врска со P1102)-Средно Конјаре-Горно Конјаре -Винце-Пчинја-Орашац (врска со P1204)
P2137,P2137 - Врска со P1102-Војшанци-Корешница-Д.Капија (врска со P1102)
P2138,P2138 - Врска P2134-Сончев град-Водно-Г.Нереѕи
P2231,P2231 - Гостивар (врска со P2233)-Србиново-Туин-Осломеј-врска со A2
P2232,P2232 - Бучиште (врска со P1205)-Ѕлетово-хидроакумулација Ѕлетовица
P2233,"P2233 - Гостивар (врслка со A2)-Чегране-клучка Тетово запад (врска со, Брвеница)"
P2234,P2234 - Клучка Сарај (врска со A2)-Радуша-Јегуновце-Теарце (врска со P1203)
P2235,P2235 - Маврови Анови (врска со P1202)-Маврово-Леуново-Бунец (врска со P1202)
P2236,P2236 - Свети Николе (врска со A4)-Мечкуевци-Пуѕдерци-Неокази (врска со P1205)
P2237,P2237 - Куманово (врска со P1204)-Младо Нагоричане (врска со A2)
P2238,P2238 - Маврово (врска со P2235)-Галичник-Селце-Тресонче-Лаѕарополе-врска со P2246
P2239,P2239 - Стенковец (врска со A2/A4)-бродец-Танушевци (гр. со Р.Косово)
P2240,P2240 - врска со P1201-Вевчани-Октиси-врска со A2
P2241,P2241 - Врска со P1201 (Глобочица)-јабланица-граница со Р.Албанија (ГП Лакавица)
P2242,P2242 - Желино (врска со A2)-Јегуновце (врска со P2234)
P2243,P2243 - Струга (врска со P1201)-Дрслајца-Долно Татеши-Мислодежда-Локов-Буринец-врска со P1201
P2244,P2244 - Врска со P1207-Жеглјане-Рамно-гр. со Р.Србија
P2245,P2245 - Крива Паланка (врска со A2)-Осиче-Огут-гр. со Р.Србија
P2246,P2246 - Бошков Мост (врска со P1202)-Извор (врска со A2) и делница за с.Гари
P2247,P2247 - Павлешенци (врска со P1204)-Татомир-Секулица-врска со P1205
P2248,P2248 - Ранковце (врска со A2)-Герман-Нерав
P2249,P2249 - Мелнички мост (врска со P1102)-Папрадник-Брештани-Селце (врска со P2243)
P2250,P2250 - Крива Паланка (врска со A2)-Дубровница-голема Црцорија-Луке-граница со Р.Србија
P2331,P2331 - Битола (врска со P1101)-Ниже Поле-Пелистер - Брајчино - Лјубојно (врска со P1308)
P2332,P2332 - Брска со P1307 (Царина)-Трпејца (врска со A3 i P1301)
P2333,P2333 - Битола (врска со A3)-Бистрица-Драгош
P2334,P2334 - Штип (врска со P1204)-Карбинци-Аргулица-Теранци-Ѕрновци -Виница (врска со P1304)-Јакимово-Калиманци-врска со P2345
P2335,P2335 - Вашареица (врска со P1101)-Бучин-Обршани-Кривогаштани-Ропотово (врска со P1303)
P2336,P2336 - Стари Град (врска со P1312)-Богомила-Ропотово (врска со P1303)
P2337,P2337 - Крушево (врска со P1306)-Пуста Река-Пространје (врска со P1305)
P2338,P2338 - Меџитлија (врска со A2k)-Гермијан-Старавина-Градешница-Бешиште-врска со P1107
P2339,P2339 - Ново Лагово (врска со P1101)-Галичани-Обршани-Бучин-Граиште- врска со P1305
P2340,P2340 - Врска со P1101-Добрушево-Новаци-Бач-врска со P2238
P2341,P2341 - Делчево (врска со A3)-Габрово-гр. со Р.Бугарија
P2342,P2342 - Трканје (врска со A3)-Соколарци-Пишица (врска со P1205)
P2343,P2343 - Делчево (врска со A3)-Голак
P2344,P2344 - Врска со P1312-Чашка-Лисиче-Дреново
P2345,P2345 - Врска со A3-Бигла-Трсино-врска со P1304
P2346,P2346 - Тработивиште (врска со P1302)-Раѕловци-Митрашинци (врска со P1304)
P2347,P2347 - Кажани (врска со A3)-Лера-Стрежево-Црновец-Лопатица (врска со P1305)
P2431,P2431 - Радовиш (врска со 1310)-Плачковица-Аргулица (врска со P2334)
P2432,P2432 - Струмица (врска со A4)-Велјуса-Василево (врска со 1403)
P2433,P2433 - Радовиш (врска со A4)-Конче -Загорци-Лесковица (врска со P1103)-Селце-Софилари (врска со A4)
P2434,P2434 - Врска со P1401-Рич-врска со P2433
P29171,P29171 - Демир Капија (врска со P1102) - Крнјево - Конопиште - Мушов Гроб (спој со P1107)
P29172,P29172 - Беловодица (врска со A1)-Дунје (врска со P1107)
P29173,P29173 - Неготино (врска со P1103)-Д. Дисан-Бесвица (врска со P29171)
P29174,P29174 - Крнјево (спој со P29171)-Раднја - СЦ Кожуф (спој со P1108)
P29175,P29175 - Могила (врска со P1101)-Будаково-врска со P2340
P29176,P29176 - Катланово (врска со P1102)-Катлановска Банја
P29177,P29177 - Миравци (врска со P1105) - Милетково (врска со P1102)
P29178,P29178 - Давидово (врска со P1105) - Демир Капија (врска со P29171)
P29271,P29271 - С. Мождивнјак (врска со A2)-Каврак-Мушково-Кратово (врска со P1205)
P29272,P29272 - Опае (врска со P2133) - Слупчане - Белановце - Злокуќане -гр. со Р.Косово
P29273,P29273 - Ботун (врска со A2) - Белчишта - Брежани - Желеѕнец-врска со P1305
P29274,P29274 - Шемшево (врска со P2242)-Жилче-Лешок (врска со P1203)
P29275,P29275 - Врска со P1209 - Шипковица - гр. со Р.Косово
P29277,P29277 - Врска со A2 - Клечовце - Белјаковце - Шопско Рударе - Секулица (врска со P2247)
P29278,P29278 - Врска со A2-Неготино (Полошко)
P29279,P29279 - Здунје (врска со A2)-Вруток
P29280,P29280 - Врска со P2246-Могорче
P29281,P29281 - Врска со 2248-Опила-врска со P1205
P29371,P29371 - Врска со A3-Кривени-Слоештица-врска со P1305
P29372,P29372 - Врска со A3 - Ротино-детско одмаралиште - Бегова Чешма (Пелистер)
P29374,P29374 - Варош (врска со P1303)-Манастир Св Богородица (Трескавец)
P29375,P29375 - Костинци (врска со P2336) - Манастир Св Преображение (Зрзе)
P29376,P29376 - Врска со P1308 - Манастир Св. Ќорќија (Курбиново) - Манастир Св.Богородица - врска со P1308
P29471,P29471 - Подареш (врска со P1310)-Јаргулица-Покрајчево-Злеово-Радичево (врска со A4)
