СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
151,Инджиково (автопат) - Петровец 1 (автопат),10644,183 - Инджиково (автопат),556 - Петровец (автопат)
152,Миладиновци 1 (автопат) - Средно Конјари (автопат),6384,817 - Миладиновци 1 (автопат),819 - Средно Конјарi (автопат)
153,Средно Конјари (автопат) - Преод (автопат),15210,819 - Средно Конјарi (автопат),823 - Преод (автопат)
154,Преод (автопат) - Свети Николе С (автопат),6879,823 - Преод (автопат),827 - Свети Николе С (автопат)
155,Свети Николе С (автопат) - Свети Николе Ј (автопат),3219,827 - Свети Николе С (автопат),831 - Свети Николе Ј (автопат)
156,Свети Николе Ј (автопат) - Кадрифаково (автопат),8340,831 - Свети Николе Ј (автопат),835 - Кадрифаково (автопат)
402,Штип 1 (Три чешми) - Софилари 1 (Ложиште),5990,465 - Штип 2 (клучка),229 - Софилари 1 (Ложиште)
403,Софилари 1 (Ложиште) - Софилари 2 (Завој),1013,229 - Софилари 1 (Ложиште),259 - Софилари 2 (Завој)
404,Ново Село (шопур) - Радовиш 1 (Инјево),14829,230 - Ново Село (шопур),4 - Радовиш 1 (Инјево)
405,Радовиш 1 (Инјево) - Радовиш 2 (Воиславци),1312,4 - Радовиш 1 (Инјево),232 - Радовиш 2 (Воиславци)
406,Радовиш 2 (Воиславци) - Владиевци,17997,232 - Радовиш 2 (Воиславци),1 - Владиевци
407,Владиевци - Градошорци,4781,1 - Владиевци,466 - Градошорци
408,Градошорци - Струмица 1 (кружен ток),3964,466 - Градошорци,233 - Струмица 1 (кружен ток)
409,Струмица 1 (кружен ток) - Струмица 2 (Силоси),1140,233 - Струмица 1 (кружен ток),95 - Струмица 2 (Силоси)
752,Клучка Идризово,887,629 - Клучка Идризово,630 - Клучка Идризово
753,Клучка Петровец,733,631 - Клучка Петровец,632 - Клучка Петровец
761,Крстосница Штип A4,219,633 - Крстосница Штип A4,634 - Крстосница Штип A4
764,Клучка Лесковица,206,635 - Клучка Лесковица,636 - Клучка Лесковица
765,Клучка Injevo,330,231 - Радовиш 1 (Инјево),231 - Радовиш 1 (Инјево)
766,Клучка Радовиш,797,637 - Клучка Радовиш,638 - Клучка Радовиш
767,Клучка Калуѓерица,456,639 - Клучка Калуѓерица,640 - Клучка Калуѓерица
768,Клучка Радичево,446,641 - Клучка Радичево,642 - Клучка Радичево
769,Клучка Доброшинци,465,643 - Клучка Доброшинци,644 - Клучка Доброшинци
770,Клучка Градошорци,114,645 - Клучка Градошорци,645 - Клучка Градошорци
787,Клучка Средно Конјари,508,821 - Клучка Средно Конјари,822 - Клучка Средно Конјари
788,Клучка Преод,894,825 - Клучка Преод,826 - Клучка Преод
789,Клучка Свети Николе С,965,829 - Клучка Свети Николе С,830 - Клучка Свети Николе С
790,Клучка Свети Николе Ј,1532,833 - Клучка Свети Николе Ј,834 - Клучка Свети Николе Ј
851,Почивалиште Блаце,1357,715 - Почивалиште Блаце,716 - Почивалиште Блаце
852,Почивалиште Идризово запад,266,717 - Почивалиште Идризова запад,718 - Почивалиште Идризова запад
853,Почивалиште Идризово исток,136,719 - Почивалиште Идризово исток,720 - Почивалиште Идризово исток
854,Почивалиште Ново Село,423,721 - Почивалиште Ново Село,722 - Почивалиште Ново Село
1101,Државна граница МК/КОС (Блаце) - Стенковец (Орман),13443,553 - Државна граница МК/КОС (Блаце) - Стенковец,551 - Клучка Стенковец
1102,Софилари 2 (Завој) - Ново Село (шопур),14285,259 - Софилари 2 (Завој),230 - Ново Село (шопур)
1103,Струмица 2 (Силоси) - Дабилја,3628,95 - Струмица 2 (Силоси),261 - Дабилја
1104,Дабилја - Робово,1452,261 - Дабилја,262 - Робово
1105,Робово - Ново Конјарево,21832,262 - Робово,263 - Ново Конјарево
1106,Ново Конјарево - Државна граница МК/БГ (Ново Село),1946,263 - Ново Конјарево,468 - Државна граница МК/БГ (Ново Село)
9151,Инджиково (автопат) - Петровец 1 (автопат),11502,154 - Инджиково (автопат),552 - Петровец 1 (автопат)
9152,Миладиновци 1 (автопат) - Средно Конјари (автопат),6428,818 - Миладиновци 1 (автопат),820 - Средно Конјарi (автопат)
9153,Средно Конјари (автопат) - Преод (автопат),15209,820 - Средно Конјарi (автопат),824 - Преод (автопат)
9154,Преод (автопат) - Свети Николе С (автопат),6833,824 - Преод (автопат),828 - Свети Николе С (автопат)
9155,Свети Николе С (автопат) - Свети Николе Ј (автопат),3233,828 - Свети Николе С (автопат),832 - Свети Николе Ј (автопат)
9156,Свети Николе Ј (автопат) - Кадрифаково (автопат),8661,832 - Свети Николе Ј (автопат),836 - Кадрифаково (автопат)
