СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
782,Клучка Карпош,560,648 - Клучка Карпош,648 - Клучка Карпош
1302,Д. Конјаре 2 (Карпош) - Доброшане,4615,355 - Д. Конјаре 2 (Карпош),356 - Доброшане
1303,Доброшане - Павлешенци,22438,356 - Доброшане,46 - Павлешенци
1304,Павлешенци - Свети Николе,14474,46 - Павлешенци,228 - Свети Николе
1304,Павлешенци - Свети Николе,14474,46 - Павлешенци,228 - Свети Николе
1305,Свети Николе - Овче Поле,10485,228 - Свети Николе,219 - Овче Поле
1305,Свети Николе - Овче Поле,10485,228 - Свети Николе,219 - Овче Поле
1306,Кадрифаково (Овче Поле) - Штип 2 (клучка),12784,220 - Кадрифаково (Овче Поле),359 - Штип 2 (клучка)
1307,Штип 2 (клучка) - Штип 4 (кружен ток),1727,359 - Штип 2 (клучка),360 - Штип 4 (кружен ток)
1308,Штип 4 (кружен ток) - Штип 3 (Sofilari),1359,360 - Штип 4 (кружен ток),56 - Софилари 1 (Ложиште)
1309,Штип 3 (Sofilari) - Софилари 1 (Ложиште),5710,56 - Софилари 1 (Ложиште),229 - Софилари 1 (Ложиште)
